trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Hällnäs;Hls;7139189;723637;64.30541;19.62588;126
Kosjärv;Koj;7334545;856120;65.93126;22.84168;132
Tillberga;Tb;6617718;591427;59.68741;16.62394;348
Degerbäcken;Dbn;7316925;791976;65.83951;21.40182;124
Heby;Hy;6646226;603547;59.94042;16.85325;431
Ursviken;Uvn;7190279;793764;64.70841;21.17003;143
Saluböle;Sbe;7045917;713476;63.47726;19.28703;171
Kvidinge;Kvi;6223072;378577;56.13722;13.04604;932
Hammar;Hmr;6990524;639851;63.01731;17.76324;238
Räppe;Räp;6304472;483968;56.88371;14.7369;821
Rällså;Rlå;6628817;505479;59.79708;15.09763;391
Bergfors;Bfs;7566978;698505;68.14726;19.78279;111
Stävie;Sie;6179651;379116;55.74745;13.07417;925
Stockholms norra;Nst;6582697;672464;59.34769;18.03316;405
Hilleby;Hly;6734712;618426;60.73035;17.17148;235
Säter;St;6690246;541784;60.34654;15.75706;333
Ånge;Åg;6932708;533794;62.52382;15.65652;210
Slussen;xSlu;6579638;675080;59.31918;18.07662;473
Munktorp;Morp;6599978;564141;59.53324;16.13403;350
Boden central;Bdn;7317193;806030;65.82877;21.70806;120
Järneträsk;Jnt;7291725;763907;65.63897;20.74006;124
Vetlanda;Vta;6364804;504903;57.42594;15.08164;829
Bjärka-Säby;Bsä;6459093;544163;58.27068;15.75284;843
Källene;Käe;6801739;607964;61.33472;17.01765;235
Gålnäs;Gån;7022091;680926;63.28192;18.60815;175
Arnäsvall;Ara;7025512;689664;63.30804;18.78599;171
Sävast;Svt;7310119;809486;65.76242;21.76654;119
Vissefjärda;Vfa;6266306;535728;56.53975;15.58098;823
Sandbäck;Sak;6224333;477302;56.16346;14.63451;943
Kristianstads södra;Crs;6208807;447835;56.02166;14.16311;952
Skene;See;6374193;359101;57.48841;12.64944;656
Skellefteå;Skl;7194308;783111;64.7535;20.95569;143
Rensjön;Rsn;7558607;701002;68.0707;19.82695;111
Lappberg;Lab;7506928;720937;67.59447;20.19926;113
Karlstad Välsviken;Kvä;6584461;419464;59.3911;13.58202;382
Tanum;Tnu;6514086;285477;58.71355;11.29559;621
Falerum;Fal;6445339;571076;58.14364;16.20732;845
Lidköping;Lkp;6486331;393075;58.50442;13.16505;552
Hjorthagen;xHhn;6570711;625581;59.2567;17.20251;001
Molnby;xMnb;6606207;674339;59.55773;18.08525;425
Värdshuset;xVht;6570880;626684;59.25789;17.22192;001
Nälden;Nä;7024658;462672;63.3487;14.25414;221
Strömsholm;Ssh;6596517;571768;59.50093;16.26768;493
Skruv;Sru;6281473;522762;56.67681;15.37149;822
Arbrå;Ab;6816036;573518;61.47106;16.37984;217
Simeå;Små;6827207;570460;61.57189;16.32672;217
Koler;Klr;7274793;753978;65.49572;20.49327;124
Falun central;Fln;6718769;535137;60.60326;15.64167;323
Sellnäs;Slnä;6697516;520968;60.41343;15.38068;324
Lindholmen;xLdm;6609263;675559;59.58463;18.10934;425
Umeå central;Uå;7088776;758965;63.8301;20.2671;146
Gunsen;Gse;7190997;790242;64.71788;21.098;143
Skälebol;Skbl;6499229;348544;58.60695;12.39302;637
Hennan;Hnn;6876944;547230;62.02186;15.90239;216
Bredviken;Ben;7326240;875454;65.83533;23.23832;132
Nuortikon;Nrt;7430307;754711;66.88351;20.82079;117
Mörarp;Mör;6214284;367583;56.05539;12.87361;933
Svenstavik;Svk;6960304;471446;62.77194;14.44064;264
Graninge;Ga;6996974;593962;63.08997;16.86096;211
Västeraspby;Väy;6994763;638878;63.05568;17.74763;232
Vansbro;Vo;6708738;457503;60.51248;14.22608;376
Tågsjöberg;Tsg;7061803;586192;63.67346;16.74204;153
Charlottenberg;Cg;6641481;348854;59.88316;12.29922;631
Storuman;Sum;7220911;599241;65.09688;17.11245;165
Maitum;Mtm;7371279;710022;66.38994;19.70286;161
Buddbyn;Bud;7321006;805634;65.86312;21.70836;120
Ölme;Öl;6580657;443464;59.36086;14.00551;383
Åsarna central;Åsal;6946385;467924;62.64673;14.37428;264
Trehörningsjö;Thö;7068410;691069;63.69142;18.8656;129
Malmbäck;Mbä;6381859;467733;57.57802;14.46044;732
Undersåker;Un;7021900;411743;63.31501;13.23844;221
Enstaberga;Ebg;6513805;606993;58.75102;16.84912;421
Ringvägen;xRvä;6576247;688092;59.28319;18.3019;473
Trelleborg;Trg;6137659;383450;55.37138;13.16088;914
Oskarshamn;Oh;6347581;587915;57.2628;16.45757;833
Koskivaara;Kva;7404992;764360;66.64944;20.98449;117
Hovmantorp;Hvp;6293595;508533;56.78619;15.13966;822
Hillared;Hil;6388997;389995;57.62987;13.15778;721
Herrhult;Hlt;6612358;461134;59.64751;14.31052;326
Nordskogen;Nosk;6402749;378001;57.75023;12.95011;654
Aspeå;Ap;7031251;625610;63.38771;17.51371;130
Kragenäs;Kgs;6523711;283548;58.79885;11.25308;621
Kristinehamn;Khn;6575733;449174;59.31737;14.10709;383
Gårdsjön;Gön;6899247;623720;62.20462;17.37844;235
Ope;Ope;7000537;487195;63.13394;14.74603;223
Stegsskogen;Sten;6858896;615787;61.8452;17.19978;235
Gastsjön;Gsn;6981230;543438;62.95828;15.85636;211
Håverud;Hvr;6523417;350637;58.82469;12.41295;662
Rödberg;Rö;6395343;357881;57.67785;12.61673;641
Skinnskatteberg;Skb;6632973;538769;59.83262;15.69159;313
Gällivare;Gv;7457341;744796;67.13298;20.65152;114
Markaryd;Mrd;6258122;413353;56.45962;13.59393;931
Svalöv;Sal;6197839;381888;55.91147;13.11039;924
Kode;Kde;6426890;313602;57.94464;11.85072;625
Björna;Bj;7052051;678677;63.5514;18.59691;129
Åshammar;Åh;6724649;584638;60.64864;16.54792;311
Håsjö;Hå;6988834;564422;63.0234;16.27291;211
Karlshamn;Kh;6225809;491696;56.1772;14.86625;943
Ekenässjön;Esn;6371984;501136;57.49046;15.01895;829
Gäddmyr;Gy;7516563;719918;67.6813;20.19438;113
Gräsberg;Gäg;6676411;512365;60.22429;15.2232;324
Brunsbergstunneln;Bu;6611151;384179;59.6224;12.94666;631
Fors;Fs;6675133;572695;60.20651;16.31154;312
Ålsäng;Ålg;6586562;540315;59.41574;15.71031;351
Brännögård;Bög;6319610;384655;57.00557;13.10082;733
Åsbro;Å;6539848;503516;58.99815;15.06119;522
Kejsarbäcken;Keb;6633171;483318;59.83588;14.7024;327
Koskullskulle;Kos;7463663;747745;67.187;20.73261;114
Pålsjö;Pö;6215968;356653;56.06736;12.69734;920
Nordlunda;Norl;7276662;694919;65.55327;19.22346;151
Billesholm;Bih;6214199;374009;56.05637;12.97677;924
Hillerstorp;Hto;6352846;432755;57.3136;13.88361;721
Hällefors;Hlf;6626703;472931;59.77726;14.51794;326
Gullringen;Gng;6407207;541682;57.80491;15.70137;841
Vattjom;Vm;6916704;603776;62.36726;17.00573;224
Tolikberget;Tet;7378440;763444;66.4133;20.90721;118
Hultsfred;Hf;6371853;550758;57.48644;15.84665;832
Edsbyverken;Edv;6804513;545071;61.37199;15.84322;251
Fristad;Fra;6411251;381738;57.82755;13.00866;654
Edsbyns södra;Eds;6804733;544536;61.37402;15.83326;251
Älvsbyn;Äy;7297158;775090;65.67811;20.99292;124
Bjärnum;Bjm;6239283;419958;56.29157;13.70682;931
Borås central;Bsc;6399507;376805;57.7208;12.93169;655
Rydsgård;Rdg;6148491;410666;55.47439;13.5867;961
Klockarbäcken;Klbn;7091180;752594;63.85625;20.14209;146
Bispgården;Bsg;6989817;582014;63.02866;16.62087;211
Brattheden;Brh;6628384;566305;59.78792;16.18122;341
Arvån;An;7165291;691766;64.55839;19.0027;152
Sandviken;Snv;6721139;597309;60.61426;16.77779;315
Frösunda;xFsu;6613818;678796;59.62409;18.17041;425
Häggsjön;Hän;6941151;640325;62.57449;17.73128;233
Domnarvet;Dmn;6706478;524490;60.49369;15.44572;306
Ornäs;Orn;6708011;529372;60.50713;15.5348;323
Mörlunda;Möa;6353613;552727;57.32239;15.87556;832
Avesta Krylbo;Avky;6666463;567570;60.12957;16.21622;313
Teckomatorp;Tp;6193338;380022;55.87058;13.08255;926
Kalmar central;Kac;6280514;583379;56.66133;16.36026;827
Hulingsryd;Hud;6373473;550043;57.50107;15.83506;831
Nyköpings central;Nk;6514673;615535;58.75661;16.99709;421
Jularbo;Ju;6669709;569815;60.15833;16.25773;312
Billingsfors;Bfo;6541291;341931;58.98192;12.24964;662
Hästbo;Hä;6702309;580065;60.44907;16.45528;312
Dals Rostock;Drt;6511170;346817;58.71347;12.35524;636
Köping;Kp;6596850;556983;59.50619;16.00667;350
Fillan;Fil;6923634;622899;62.4236;17.37992;231
Karlstads central;Ks;6583092;414721;59.37789;13.4991;382
Mölnlycke;Myk;6394181;328091;57.65704;12.11864;641
Dorotea;Dta;7126537;568092;64.25819;16.4052;165
Kåbdalis;Kåb;7345903;724874;66.15279;19.98872;161
Björneborg;Bjb;6567501;457256;59.24435;14.25069;383
Kvillsfors;Kvf;6362377;529781;57.40318;15.49561;872
Ryggen;Ryg;6717610;551826;60.59104;15.94611;322
Vekerum;Vru;6225797;486385;56.17696;14.7807;943
Nyköping södra;Nks;6513671;615780;58.74756;17.00079;492
Österskär;xÖsk;6596067;687637;59.46108;18.31121;427
Viskan;Visk;6925075;573969;62.44948;16.43348;224
Järvsö;Jr;6843072;561959;61.71574;16.17207;217
Säffle;Sfl;6556647;380754;59.13232;12.91621;637
Lahäll;xLhl;6591267;674380;59.42375;18.07377;426
Ljuså;Lså;7333233;799377;65.97802;21.60026;118
Keräsjoki;Kei;7331845;905712;65.84813;23.91017;133
Pilgrimstad;Pl;6980575;502047;62.95499;15.04035;223
Alfta;Aft;6801745;557316;61.34553;16.07141;251
Yttersjön;Yö;7150974;724395;64.41032;19.65934;126
Fagerås;Fgå;6599241;399281;59.51942;13.21989;631
Kilvo;Klv;7424762;758491;66.83084;20.89468;117
Påarp;Påa;6211487;363979;56.02928;12.81721;933
Johannisberg;Jbg;6930750;552995;62.504;16.02887;224
Karsjö;Ksö;6834750;566849;61.64023;16.2615;217
Mellösa;Mlö;6552324;589340;59.10084;16.55968;494
Fågelsjö;Feö;6852121;483240;61.80161;14.68207;265
Roback;Rob;6988393;558804;63.02039;16.16179;211
Rian;Ran;7331194;863257;65.89343;22.98766;132
Kornsjö gränsen;Ko;6538314;307796;58.94126;11.65934;001
Habo;Ho;6418664;445296;57.90641;14.07691;711
Ruda;Rud;6330275;567609;57.11082;16.11629;875
Ljungskile;Lj;6457784;319192;58.22403;11.92121;624
Hussjöby;Hsy;6938015;634183;62.54865;17.60941;233
Limmared;Lme;6378180;401398;57.53537;13.35305;721
Henriksdal;xHed;6578951;676914;59.31226;18.10822;473
Björbo;Böo;6701906;485088;60.45311;14.72895;376
Hissmofors;Hmfs;7021332;472843;63.31977;14.45792;221
Karbenning;Kbn;6656000;559793;60.03684;16.07322;313
Norra Valbo;Nvl;6726768;610045;60.66148;17.01346;315
Kil;Kil;6597468;404678;59.50477;13.31601;631
Mora central;Mrc;6763837;476180;61.0087;14.55947;331
Kalmar södra;Kas;6281077;581579;56.6667;16.33108;827
Umeå östra;Uåö;7087547;760378;63.81807;20.29363;147
Svartå;Svå;6554878;472298;59.13224;14.51596;383
Skanlog;Snl;6586093;582046;59.40546;16.44516;452
Oxelösund;Oxd;6505264;621792;58.67045;17.10006;492
Överum;Övm;6427514;578390;57.98235;16.32559;845
Kortfors;Kf;6586625;481605;59.41784;14.67588;392
Krökesbo;Kröb;6396221;470399;57.7072;14.50326;711
Brännberg;Brg;7309850;784589;65.78307;21.2257;124
Jokkmokk;Jk;7395895;714266;66.6071;19.84011;161
Grängesberg;Gg;6659766;500202;60.07502;15.00363;325
Östberga;xÖga;6589081;674491;59.4041;18.07394;426
Aplared;Apd;6391497;385103;57.65109;13.07473;721
Stöde;Std;6921966;582596;62.41977;16.5991;224
Surahammar;Shr;6619352;568627;59.70646;16.21962;345
Göteborg Lindholmen;Gli;6400292;316492;57.70727;11.91989;603
Strömtorp;Srt;6568102;466447;59.25057;14.4117;383
Vikersvik;Vik;6591787;492050;59.46452;14.85972;392
Klevshult;Kvh;6356895;445685;57.35168;14.09735;732
Kolmården;Kon;6504633;579014;58.67469;16.36253;421
Lidlund;Ldl;7215882;736945;64.98208;20.02541;124
Degermyr;Dgm;7090908;726168;63.87191;19.60594;129
Åsensbruk;Åb;6521237;351282;58.80535;12.42557;662
Värtan;Vn;6583247;675922;59.35119;18.09434;405
Bromölla;Bml;6213678;467717;56.06718;14.48148;943
Marielund;xMl;6637420;661083;59.84298;17.87493;001
Storlien;Str;7024097;354730;63.31611;12.09989;221
Östra Grevie;Ög;6148626;381893;55.4695;13.13167;913
Knalleland;Knl;6400963;377500;57.73406;12.9426;655
Österalnö;Öal;7029985;675805;63.35518;18.51488;149
Rydaholm;Rym;6316077;458162;56.98635;14.31153;720
Solum;Slm;7001455;640367;63.1151;17.78279;175
Forsbacka;Fb;6724141;603277;60.6397;16.88833;315
Singsån;Sngå;6989549;569669;63.02885;16.37687;211
Bjurhem;Bjh;6479630;341177;58.4285;12.28004;637
Brattsbacka;Brs;7079795;706201;63.78479;19.18586;129
Vegeholm;Vh;6231476;363145;56.2085;12.79359;920
Ålberga;Åba;6510403;591353;58.72408;16.57755;421
Brattby;Btb;7096271;739349;63.91108;19.88157;146
Svenshögen;Svg;6448904;319676;58.14458;11.93631;624
Degerfors;Dg;6565665;468064;59.22881;14.4404;383
Fagersta central;Fgc;6650646;545553;59.9906;15.81646;313
Vänersborg central;Vg;6473870;343202;58.37754;12.3186;652
Leksboda;Lea;6737906;501102;60.77662;15.02024;331
Holmsjö;Hmö;6253176;533462;56.42196;15.54245;823
Neglinge;xNeg;6576808;687508;59.28848;18.29216;473
Kramfors;Krf;6980726;641033;62.92902;17.77822;232
Lödöse;Löö;6435352;331750;58.02777;12.15086;666
Sickla;xSik;6578388;677675;59.30689;18.12112;473
Vinlidsberg;Vld;7211934;597229;65.01698;17.06342;165
Brånan;Brn;6951614;469753;62.69381;14.40903;264
Väse;Ve;6583120;434794;59.38172;13.85228;383
Trekanten;Tre;6284694;568559;56.70128;16.11966;824
Sunnäsbruk;Säu;6776737;614544;61.10853;17.12533;235
Kaisepakte;Kpe;7580915;677562;68.28568;19.30342;111
Åskott;Åkt;7016861;481700;63.2802;14.6352;261
Kälvattnet;Käv;7036014;648619;63.42155;17.9779;130
Storebro;Sro;6382720;550958;57.58403;15.85226;841
Ulriksfors;Uf;7078493;530558;63.83245;15.62105;261
Flädie;Fl;6177007;379032;55.72368;13.074;925
Granbergsdal;Gr;6584705;477363;59.40039;14.60134;392
Högbränna;Hbä;7078813;718262;63.76871;19.42847;129
Klenshyttan;Khy;6663428;505798;60.10786;15.10428;325
Ytterby;Yb;6417491;317117;57.86179;11.91723;625
Hagge;Hge;6666088;517232;60.13142;15.31016;340
Furudal;Fda;6781713;507122;61.16985;15.13239;265
Rundvik;Ruk;7053993;719270;63.54601;19.41414;171
Bastuträsk;Bst;7194466;739421;64.78889;20.04156;124
Lindesberg;Ld;6606268;512911;59.59444;15.22867;391
Rottneros;Rts;6630060;394987;59.79496;13.12869;661
Genevad;Gnd;6271367;379067;56.57099;13.03171;931
Dalgränsen;Dgn;6694929;580131;60.38281;16.45352;312
Norra Sunderbyn;Sby;7303478;814764;65.69813;21.86513;119
Hamrångefjärden;Hfj;6753531;611890;60.9011;17.06257;235
Insjön;In;6726638;505163;60.67541;15.0945;331
Svartvik;Sik;6912368;622660;62.32264;17.36731;235
Tvärålund;Tvä;7116495;727822;64.09969;19.67765;126
Frånö;Fnö;6978291;643655;62.90616;17.82769;232
Gussi;Gui;6790711;612542;61.23448;17.09653;235
Billeberga;Bib;6194953;374645;55.88372;12.99593;926
Stavreviken;Sen;6938141;623730;62.55343;17.40645;233
Backsjön;Baö;7023837;615166;63.32474;17.29959;130
Mattmar;Ma;7019918;441365;63.30331;13.8302;221
Sölvesborg;Sög;6211655;474027;56.04939;14.58302;943
Saltsjöbaden;xSbn;6575814;688747;59.27902;18.313;473
Tallhed;Thd;6786221;484373;61.21007;14.70915;265
Vargön;Vag;6471724;347366;58.35976;12.39114;652
Erikstad;Erk;6501917;349670;58.63146;12.4106;637
Munkedal;Mkl;6485249;306244;58.4648;11.67808;621
Ånn;Ånn;7023758;376739;63.32133;12.539;221
Rimforsa;Rf;6443974;540140;58.13527;15.68166;841
Hälleforsnäs;Hnä;6559059;585914;59.162;16.50254;494
Repbäcken;Rbä;6708726;518858;60.51418;15.34343;331
Hestra;Het;6367599;415709;57.44325;13.59565;721
Ed;Ed;6534469;323378;58.91349;11.93277;636
Lyse;Lye;6470100;294717;58.32373;11.49438;623
Betåsen;Btå;7048358;590116;63.55189;16.8136;153
Bjurå;Brå;7342346;823475;66.03555;22.14949;137
Lakaträsk;Lkä;7364055;774656;66.27531;21.12541;118
Ripats;Rps;7439764;749916;66.9719;20.73172;117
Önnestad;Önd;6213239;439552;56.06051;14.02925;941
Sandared;Sae;6398517;368466;57.70955;12.79235;641
Västra Ingelstad;Vid;6151121;380365;55.49154;13.10644;913
Ekträsk;Etk;7161056;730893;64.49614;19.80951;126
Vedum;Ved;6449276;382272;58.16902;12.99868;653
Notviken;Nvn;7295076;827456;65.61069;22.11874;119
Geijersdal;Gdl;6607187;442133;59.59887;13.9749;326
Vackernäset;Vnt;6986525;556611;63.00399;16.11783;211
Norra Kikkejaur;Nkr;7285811;690261;65.63792;19.13586;161
Söderbärke;Sre;6659601;529894;60.07245;15.53712;340
Örnsköldsvik norra;Ökn;7025093;686589;63.3059;18.72427;171
Ransta;Rt;6631415;591990;59.81023;16.63995;443
Lessebo;Lo;6289654;515809;56.7506;15.25851;822
Vinslöv;Vöv;6218284;432610;56.1049;13.91651;941
Grohed;Ghd;6465987;317873;58.29706;11.89234;624
Bofors;Bof;6577287;474235;59.3336;14.54715;393
Hjortöström;xHjm;6352255;533173;57.31203;15.55069;001
Losesjön;Lsn;6810141;606466;61.41051;16.99446;235
Björnsjö;Bjö;7046809;672159;63.50767;18.46029;129
Västra Torup;Vto;6223135;407285;56.14423;13.50779;932
Segmon;Sgm;6572304;388223;59.27487;13.03861;637
Älvsjö godsbangård;Äsg;6576350;672041;59.29094;18.02069;407
Långviksmon;Lmn;7061452;682900;63.63344;18.69262;129
Ormaryd;Ory;6391494;489948;57.6656;14.8315;831
Äng;Äng;6394550;474172;57.69242;14.56675;711
Eksjö;Ek;6391278;498535;57.66377;14.97544;831
Gimonäs;Gim;7084211;761763;63.78723;20.316;147
Lövliden;Lvd;7170928;577013;64.65448;16.61246;165
Fisksätra;xFsä;6577334;685419;59.29411;18.256;473
Attarp;Atp;6221952;428451;56.13725;13.84868;941
Gåsträsken;Gen;7344701;832283;66.04739;22.34833;137
Sandhem;Sm;6428073;427436;57.98835;13.77273;711
Båramo;Bmo;6367566;445316;57.44748;14.08884;732
Gantofta;Gan;6207019;363333;55.98898;12.80912;926
Karsbäcken;Krb;7206970;736256;64.90291;19.99597;124
Lyckselesågen;Lyg;7168309;678431;64.59269;18.7288;152
Korsträsk;Ktä;7295116;769356;65.66473;20.86467;124
Spjutsbygd;Spj;6240775;536765;56.3103;15.59426;823
Ulvshyttan;Uly;6688232;519700;60.33014;15.35675;324
Almnäs;Alä;6561611;643351;59.16941;17.50783;451
Värmlands Bro;Vdb;6562384;386521;59.18538;13.01393;637
Lomselenäs;Lms;7235083;623769;65.21564;17.6466;164
Månsarp;Måp;6390578;444558;57.65408;14.07097;731
Krokvik;Kv;7543896;712244;67.93118;20.06675;111
Olofström;Of;6237234;470263;56.27899;14.51973;851
Nybro;Nyb;6289081;555598;56.74241;15.90897;824
Orsa;Ors;6776111;479586;61.11909;14.62114;265
Hållsta;Hål;6573833;583079;59.2952;16.45863;494
Röste;Rte;6805931;574374;61.38021;16.39185;217
Arvika;Ar;6615294;364262;59.65357;12.59124;631
Korsnäs;Koä;6716898;539041;60.58609;15.71259;322
Storflon;Sfn;7024862;469311;63.35116;14.38674;221
Gnosjö;Gnö;6358015;423884;57.35863;13.73478;721
Älvho;Älo;6818279;486548;61.49795;14.74731;265
Åryd;Ård;6297433;498989;56.82075;14.98344;822
Altorp;xAlp;6589798;674396;59.41057;18.07285;426
Kattisträsk;Kaä;7183365;739891;64.68933;20.03288;126
Hökön;Hkö;6259112;452191;56.47405;14.22389;851
Åtvidaberg;Åvg;6451821;558891;58.20365;16.00202;845
Byälven;Byä;6557338;381114;59.13862;12.92212;637
Hudiksvall;Hkl;6845239;611429;61.72399;17.10864;235
Erstaviksbadet;xEvb;6575060;687194;59.27294;18.28514;474
Grötingen;Grö;6969412;524677;62.85397;15.48476;211
Tenhult;Th;6396087;459874;57.70518;14.32667;711
Skytts Vemmerlöv;Svö;6141990;383137;55.4102;13.15413;913
Dingle;Dl;6492740;300845;58.52953;11.57917;621
Torsåker;Tså;6709649;581824;60.5146;16.49026;312
Skeppshult;Sph;6332507;400530;57.12508;13.35697;732
Smedjebacken;Smj;6666676;522539;60.13644;15.40576;340
Vilhelmina;Vma;7167435;578974;64.6227;16.65161;165
Horred;Hre;6359552;348237;57.35351;12.47745;656
Brålanda;Brl;6494111;345780;58.56006;12.34898;637
Hörle;Hrl;6346630;442926;57.25915;14.05388;732
Villersmuren;Vmu;6720236;592890;60.60721;16.69667;315
Tattby;xTab;6575730;686979;59.27904;18.28194;474
Ludvika;La;6668115;510131;60.14986;15.18246;324
Stora Höga;Sth;6435267;313134;58.01957;11.8362;625
Gagnef;Gnf;6718091;504448;60.59868;15.08121;331
Mariannelund;Mnd;6386135;534941;57.61622;15.58488;831
Bollebygd;Boy;6394293;355052;57.66752;12.56996;641
Vara;Vaa;6459582;379812;58.26088;12.95156;653
Myrheden;Mhn;7251893;742995;65.29951;20.21604;124
Jädersbruk;Jbk;6585671;545327;59.40723;15.7984;350
Hallinden;Hal;6485101;297456;58.45949;11.52786;623
Kopparåsen;Kå;7594486;643651;68.42636;18.50233;111
Sundsvalls central;Suc;6919391;619703;62.38659;17.31513;234
Sandträsk;Stä;7348418;784939;66.12671;21.31798;118
Hinsnoret;Hno;6711989;534470;60.54245;15.62831;323
Fränsta;Ft;6929981;560146;62.496;16.16739;224
Pitkäjärvi;Pii;7517502;751590;67.66419;20.93991;116
Blyberg;Bbe;6780169;453591;61.15331;14.13776;371
Byvalla;By;6690901;578167;60.34704;16.41633;312
Ljung;Lju;6428865;384900;57.9865;13.05332;654
Sandmon;Sdm;6607964;422919;59.60275;13.63434;326
Sikträsk;Stk;7461140;735352;67.17445;20.44239;113
Fåker;Fkr;6984902;478437;62.99319;14.5744;264
Ånimskog;Ånm;6528932;359852;58.87727;12.56892;637
Stöcke;Sök;7079031;759346;63.74274;20.25853;171
Märbäck;Mäk;6785555;450257;61.20124;14.07442;371
Tunagård;xTug;6596903;687373;59.46869;18.30731;427
Kisa;Kisa;6427206;537494;57.98491;15.63405;841
Läggesta nedre;xLgn;6569482;623995;59.24614;17.174;001
Vännäs;Vns;7095683;732866;63.91021;19.74901;138
Träskholm;Thm;7243952;737978;65.23222;20.09514;124
Iggesund;Id;6836371;610272;61.64477;17.0814;235
Marmaverken;Me;6794581;600247;61.27256;16.8697;242
Skabersjö;Saö;6155776;383519;55.53411;13.15439;961
Stockviksverkens nedre;Ston;6915074;622220;62.34705;17.36072;235
Jämtlands Sikås;Js;7055378;510228;63.6262;15.20635;261
Godegård;Go;6511697;509560;58.74525;15.16518;522
Borlänge central;Blgc;6705279;523387;60.483;15.42552;306
Dockmyr;Dk;6980745;537490;62.95459;15.73901;211
Hölö;Hlö;6545707;645502;59.02599;17.53488;421
Växjö;Vö;6303673;488130;56.87665;14.80525;821
Skymossen;Skms;6542279;505103;59.01997;15.08887;419
Fjälkinge;Fki;6211172;455200;56.04366;14.28086;943
Viresjö;Vsö;6451777;553657;58.20392;15.91297;845
Fellingsbro;Feb;6588402;533755;59.43285;15.59501;351
Avaviken;Ava;7280779;668186;65.60512;18.65092;164
Vännäs norra;Vän;7097753;732402;63.92903;19.74273;138
Gimo;Gmo;6675267;676648;60.17594;18.18474;435
Reftele;Rft;6337852;414952;57.17597;13.59329;732
Myra;Myra;6820822;605756;61.50654;16.98728;235
Bjørnfjell;Bjf;7594131;626091;68.43159;18.07459;001
Axmarby;Ax;6765451;614270;61.00736;17.1135;235
Lubboträsk;Luä;7168504;736100;64.55915;19.92952;126
Smålandsstenar;Sdr;6336463;404119;57.16136;13.41471;732
Sorsele;Srs;7270489;617490;65.5353;17.54302;164
Daglösen;Dgö;6611705;454337;59.64096;14.19009;326
Aptas;Apt;7526673;729622;67.76413;20.44326;116
Emmaboda;Em;6276321;532759;56.62994;15.53397;822
Kolforsen;Kfn;6746729;600610;60.84308;16.85123;243
Näverkärret;Nkt;6614224;529696;59.66502;15.52709;313
Trångsviken;Tåv;7022989;450536;63.33225;14.0122;221
Järlövsby;Jäy;6351447;340904;57.27828;12.36093;656
Skärblacka;Sbl;6493212;552514;58.57616;15.90299;563
Stenbacken;Sbk;7577505;686052;68.24976;19.50239;111
Kalixfors;Kx;7523304;719952;67.74149;20.20852;113
Drömme;Döe;7017565;661646;63.25057;18.2199;175
Niemisel;Nml;7340768;816899;66.02813;22.0016;137
Oskarström;Om;6297676;376173;56.80646;12.97196;733
Ryr;Ryr;6469214;332476;58.33181;12.13882;651
Sällinge;Slg;6598026;527182;59.51974;15.48038;313
Tösse;Töe;6539255;364514;58.9714;12.64341;637
Äggfors;Äfs;7019114;435191;63.29503;13.70739;221
Callans såg;Cas;6931777;551133;62.51348;15.99303;224
Malung;Mlg;6728206;429585;60.68332;13.71085;376
Lomsmyren;Lom;6760955;473580;60.98267;14.51177;361
Blomstermåla;Bma;6316027;580969;56.9807;16.33223;876
Kringlan;Krl;6760831;611180;60.9668;17.05372;235
Bälgviken;Bgv;6569098;583295;59.25265;16.4606;494
Horndal;Hl;6686192;578122;60.30478;16.4137;312
Kalix Östra;Klx;7328221;872583;65.85628;23.18173;132
Glommersträsk;Glk;7245999;715086;65.2663;19.61025;151
Stora Tuna;Sau;6700711;527350;60.44174;15.49698;333
Lomma;Lma;6171169;378897;55.67122;13.07442;925
Gottne;Ge;7038616;669125;63.43572;18.39073;129
Lugnås;Lnå;6501177;424663;58.64433;13.70202;552
Norrsjön;Non;7058782;728178;63.58322;19.59971;171
Falkenbergs godsstation;Fabg;6309248;346988;56.90164;12.4875;629
Svedala;Sea;6152620;388342;55.50689;13.23202;961
Gustafs;Gtf;6696259;532771;60.40136;15.59476;333
Hundsjön;Huö;7332797;808684;65.96524;21.80267;137
Storvik;Sv;6717206;584067;60.58196;16.53429;315
Ytterhogdal;Yl;6896167;492475;62.19729;14.8554;264
Skölsta;xSa;6640618;653586;59.87452;17.74367;001
Härnösands central;Hsd;6948356;650135;62.63522;17.92828;233
Moga;xMg;6643793;671279;59.89603;18.06187;001
Järbo;Jb;6732112;587478;60.71501;16.60316;311
Grythyttans norra;Ghyn;6622435;472737;59.73891;14.51503;326
Edane;En;6611788;377645;59.62626;12.83054;631
Skillingaryd;Syd;6365455;445397;57.42853;14.09067;732
Hargshamn;Hrm;6675320;692606;60.16921;18.47191;435
Lycksele;Ly;7168319;675553;64.59428;18.66882;152
Ormsta;xOta;6604869;674082;59.54585;18.07961;425
Leksand;Lsd;6733152;500168;60.73393;15.00307;331
Säve;Sve;6411091;316530;57.80415;11.91228;625
Ängersjö;Änö;7061811;738143;63.60375;19.80432;171
Söderhamns västra;Shv;6797836;609013;61.29941;17.03497;235
Rågsveden;Råg;6705181;448618;60.47952;14.06522;376
Löt;xLöt;6640165;664808;59.86613;17.9435;001
Taxinge-Näsby;xTx;6569134;631221;59.24084;17.30037;001
Grums;Gms;6580881;392752;59.35302;13.11376;637
