trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Bratteborg;Btg;6382027;447692;57.57765;14.12533;731
Ockelbo;Ob;6751894;593388;60.8912;16.72092;218
Kårsta;xKår;6617728;684101;59.65684;18.26771;425
Nykroppa;Nka;6609919;460532;59.62556;14.30029;326
Lit;Lit;7021075;492823;63.31841;14.85674;261
Ekeryd;Eky;6385586;446574;57.60948;14.10585;731
Byarum;Bym;6377404;448738;57.53625;14.14379;731
Rydöbruk;Ryk;6314858;387316;56.96356;13.14674;735
Stora Levene;Stlv;6466892;378531;58.32614;12.92591;552
Krokom;Krm;7022024;472354;63.32593;14.44803;221
Tjärnvik;Tjä;6887383;621045;62.09908;17.31891;235
Gamleby;Gal;6418107;583570;57.89694;16.40984;845
Torpshammar;To;6927549;568858;62.47266;16.33545;224
Bjästa;Bja;7013809;673138;63.21157;18.44432;175
Dala-Floda;Dfl;6705866;488460;60.48878;14.79;376
Mora lasarett;Mrl;6764652;477354;61.01609;14.58107;265
Vattnäs;Vtn;6768359;478284;61.04942;14.59786;265
Born;Born;6777915;480779;61.13534;14.6431;265
Kolsnäs;Kns;6633468;395767;59.82575;13.14088;661
Sprängsviken;Spk;6973293;646069;62.8604;17.87075;232
Voxna;Vna;6800971;530767;61.34158;15.57505;251
Mimer;Mim;6659125;551992;60.06596;15.93401;344
Ådalsliden;Åd;7035943;593736;63.43959;16.87907;153
Bruzaholm;Bz;6388841;516438;57.64158;15.27534;831
Brastad;Bsa;6476638;294520;58.38225;11.48521;623
Nås;Nås;6703028;472503;60.46253;14.50002;376
Lövstahagen;xLh;6637910;661728;59.84713;17.88682;001
Derome;Dre;6346229;338238;57.23052;12.32016;656
Uppsala norra;Una;6639500;646272;59.86715;17.6124;429
Funbo;xFb;6638111;660150;59.84954;17.85884;001
Gryttje;Gry;6884343;619167;62.07241;17.28092;235
Råsjön;Rån;6524106;350596;58.83085;12.41178;662
Tofta;Tof;6339910;336793;57.17331;12.30041;656
Forsmo;Fsm;7016857;609385;63.26395;17.17953;130
Lönneberga;Lön;6379079;543099;57.55214;15.72018;831
Järlåsa;Jla;6640658;623301;59.88502;17.20321;431
Silverdalens centrum;Sic;6378034;544470;57.54262;15.74289;831
Långsele;Lsl;7006921;604043;63.17642;17.06679;211
Lörstrand;Lö;6836723;561724;61.65879;16.16548;217
Kvarnsjö;Kvö;6937362;467730;62.56573;14.37221;264
Grönåsen;Gnå;7025208;619626;63.33557;17.38959;130
Gärsnäs;Gss;6155912;448358;55.54649;14.18152;969
Åsarna Södra;Åsra;6945688;467802;62.64046;14.37204;264
Vendevägen;xVev;6588586;674158;59.3998;18.06768;426
Skee;Ske;6537484;284852;58.92293;11.26231;621
